input,correct,expected,predicted,score
"def download_youtube_video(video_url, output_path):
    
    # video_url, output_path = info
    try:
        if <IFMASK>:
            os.makedirs(os.path.dirname(output_path), exist_ok=True)
        # download command
        command = ['yt-dlp', '-f', 'bestvideo[ext=mp4]+bestaudio[ext=m4a]/best[ext=mp4]', '--merge-output-format',
               'mp4', '--output', output_path , video_url]
        # subprocess.run
        result = subprocess.run(command, capture_output=True, text=True, encoding='utf-8')

        if result.returncode == 0: <ANS> ",true,not os.path.exists(os.path.dirname(output_path)),not os.path.exists(output_path) or not os.path.exists(output_path) or,75.50
"def sub_device_state(
        self, did: str, handler: Callable[[str, MIoTDeviceState, Any], None],
        handler_ctx: Any = None
    ) -> bool:
        
        if <IFMASK>:
            raise MIoTClientError(f'did not exist, {did}')
        self._sub_device_state[did] = MipsDeviceState(
            did=did, handler=handler, handler_ctx=handler_ctx)
        _LOGGER.debug('client sub device state, %s', did)
        return True <ANS> ",true,did not in self._device_list_cache,self.opts.get('detect_mode') is True and self.opts.get('detect_mode') is,59.38
"def generate_audio_from_phonemes(phonemes: str, voice: str = ""af_bella"") -> Optional[bytes]:
    
    response = requests.post(
        json={""phonemes"": phonemes, ""voice"": voice},
        headers={""Accept"": ""audio/wav""}
    )
    
    print(f""Response status: {response.status_code}"")
    print(f""Response headers: {dict(response.headers)}"")
    print(f""Response content type: {response.headers.get('Content-Type')}"")
    print(f""Response length: {len(response.content)} bytes"")
    
    if <IFMASK>:
        print(f""Error response: {response.text}"")
        return None
        
    if not response.content:
        print(""Error: Empty response content"")
        return None
        
    return response.content <ANS> ",true,response.status_code != 200,len(response.body) != 1 and (not response.body[0].startswith('0')) or (len,56.78
"def _setup_user_dir(self):
        
        if '--user-data-dir' not in [
            
        ]:<IFMASK>:
            # For all browsers, use a temporary directory
            temp_dir = self._temp_directory_manager.create_temp_dir()
            self.options.arguments.append(f'--user-data-dir={temp_dir.name}') <ANS> ",false,'--user-data-dir' not in [,self.options.snapshot_dir and self.options.snapshot_dir.is_dir() and (not self,65.18
"def __post_init__(
        self,
    ) -> ""BaseSecurity"":  # dataclasses uses __post_init__ instead of model_validator
        
        valid_in_values = {
            ""apiKey"": [""header"", ""query"", ""cookie""],
            ""http"": [""bearer"", ""basic""],
            ""oauth2"": [""bearer""],
            ""openIdConnect"": [""bearer""],
            ""mutualTLS"": [""tls""],
            ""unsupported"": [""unsupported""],
        }
        if <IFMASK>:
            raise ValueError(f""Invalid in_value '{self.in_value}' for type '{self.type}'"")
        return self <ANS> ",true,self.in_value not in valid_in_values[self.type],self.in_value is None and self.type is None and (self.type is not None) and (,59.91
"def __call__(
      self, query_sequence: str, chain_polymer_type: str
  ) -> tuple[msa.Msa, MsaErrors]:
    
    if <IFMASK>:
      raise ValueError(
          f'EmptyMsaProvider of type {self._chain_polymer_type} called with '
          f'sequence of {chain_polymer_type=}, {query_sequence=}.'
      )
    return (
        msa.Msa.from_empty(
            query_sequence=query_sequence,
            chain_poly_type=self._chain_polymer_type, <ANS> ",true,chain_polymer_type != self._chain_polymer_type,self._chain_polymer_type == 'identity' and self._chain_polymer_type ==,66.78
"def interpreter_feedback(self, output: str) -> str:
        
        if <IFMASK>:
            return f""Web search failed: {output}""
        return f""Web search result:\n{output}"" <ANS> ",true,self.execution_failure_check(output),self.wait_for_completion is not None and self.wait_for_completion != 'timeout' and (,67.98
"def initialize_cache(self, num_gpu_blocks: int, num_cpu_blocks: int) -> None:
        

        # NOTE: We log here to avoid multiple logs when number of workers is
        # greater than one. We could log in the engine, but not all executors
        # have GPUs.
        logger.info(""# GPU blocks: %d, # CPU blocks: %d"", num_gpu_blocks, num_cpu_blocks)

        self.cache_config.num_gpu_blocks = num_gpu_blocks
        self.cache_config.num_cpu_blocks = num_cpu_blocks

        if <IFMASK>:
            print(f""before init cache memory allocated: {torch.cuda.memory_allocated() / 1e9}GB, reserved: {torch.cuda.memory_reserved() / 1e9}GB"")
        self.worker.initialize_cache(num_gpu_blocks=num_gpu_blocks, num_cpu_blocks=num_cpu_blocks)
        if torch.distributed.get_rank() == 0:
            print(f""after init cache memory allocated: {torch.cuda.memory_allocated() / 1e9}GB, reserved: {torch.cuda.memory_reserved() / 1e9}GB"") <ANS> ",false,torch.distributed.get_rank() == 0,self.use_cuda or self.use_cpu or self.use_fp16 or self.use_fp,57.39
"def validate_dimensions(dimension: Union[int, float], attribute_name: str) -> int:
    
    dimension = int(dimension)
    if <IFMASK>:
        raise ValueError(f""The '{attribute_name}' must be a multiple of 64."")
    return dimension <ANS> ",true,dimension <= 0 or dimension % 64 != 0,"not isinstance(dimension, (int, float)) or not isinstance(attribute_name, (str, int)) or",74.10
"def _format_comment_body(self, comment: GitHubPRComment) -> str:
        
        body = comment.comment_body

        # Add code snippet reference if provided
        if <IFMASK>:
            body += f""\n\n```\n{comment.code_snippet}\n```""

        # Add suggestion if provided
        if comment.suggestion:
            body += f""\n\n```suggestion\n{comment.suggestion}\n```""

        return body <ANS> ",true,comment.code_snippet,self.comment_body is not None and self.comment_body.startswith('comment') and (not self.,52.23
"def _save_credentials(self) -> None:
        
        if <IFMASK>:
            logger.error(f""Attempted to save null credentials for user {self.user_morphik_id}."")
            return

        creds_path = self._get_user_credentials_path()
        try:
            with open(creds_path, ""w"") as creds_file:
                json.dump(self.credentials, creds_file)
            logger.info(f""Successfully saved Zotero credentials for user {self.user_morphik_id}"") <ANS> ",true,not self.credentials,self.user_m changemeik_id is None and self.user_p changemeik_id is None and,46.31
"def extract_json_from_response(content: str) -> dict | None:
    
    try:
        json_start = content.find(""```json"")
        if <IFMASK>:
            json_text = content[json_start + 7 :]  # Skip past ```json
            json_end = json_text.find(""```"")
            if json_end != -1:
                json_text = json_text[:json_end].strip()
                return json.loads(json_text)
    except Exception as e:
        print(f""Error extracting JSON from response: {e}"")
    return None <ANS> ",false,json_start != -1,not content.endswith('.json') or not content.endswith('.json') or content.endswith('.json') or content,63.29
"def normalize_pandas(obj):
    
    if <IFMASK>:
        return obj.tolist()
    elif isinstance(obj, pd.DataFrame):
        return obj.to_dict(""records"")
    elif isinstance(obj, dict):
        return {k: normalize_pandas(v) for k, v in obj.items()}
    elif isinstance(obj, (list, tuple)):
        return [normalize_pandas(item) for item in obj]
    return obj <ANS> ",true,"isinstance(obj, pd.Series)","isinstance(obj, dict) and isinstance(obj, ABCIndex) and isinstance(obj, ABCIndex) and (not isinstance",63.48
"def get_client_and_project():
        
        is_dev_mode = os.getenv(""isDevelopmentMode"", ""enabled"") == ""enabled""
        if <IFMASK>:
            return None, None

        project_id = os.environ.get(""GCP_PROJECT"")
        if not project_id:
            raise HTTPException(
                status_code=500, detail=""GCP_PROJECT environment variable is not set""
            ) <ANS> ",true,is_dev_mode,project_id is None and location is None and (not is_dev_mode) and (not is_dev,59.58
"def is_fastTrack_eligible(self):
        
        if (<IFMASK>):
            logger.debug(""Fast track not eligible: context_url present"")
            return False
        if (len(self.handler.prev_queries) > 0):
            logger.debug(f""Fast track not eligible: {len(self.handler.prev_queries)} previous queries present"")
            return False
        logger.info(""Query is eligible for fast track"")
        return True <ANS> ",true,self.handler.context_url != '',self.handler.handler is not None and self.handler.handler.should_exit() and (not self.,63.50
"def load_server_config(cls) -> Dict[str, MCPServerConfig]:
        
        config_path = PROJECT_ROOT / ""config"" / ""mcp.json""

        try:
            config_file = config_path if config_path.exists() else None
            if <IFMASK>:
                return {}

            with config_file.open() as f:
                data = json.load(f)
                servers = {}

                for server_id, server_config in data.get(""mcpServers"", {}).items():
                    servers[server_id] = MCPServerConfig( <ANS> ",false,not config_file,server_config.get('port') is None or server_config.get('port') == port or server_,56.42
"def set_default_attn_processor(self):
        
        if all(
            
            
        ):<IFMASK>:
            processor = AttnAddedKVProcessor()
        elif all(
            proc.__class__ in CROSS_ATTENTION_PROCESSORS
            for proc in self.attn_processors.values()
        ):
            processor = AttnProcessor()
        else:
            raise ValueError( <ANS> ",false,all(,not self.is_premature() or self.is_talk() or self.is_dumb_terminal,53.06
"def state(self, value: JobStateEnum) -> None:
        
        if <IFMASK>:
            logger.error(f""Attempt to change state from {self._state.name} to {value.name} denied."")
            raise ValueError(f""Cannot change state from {self._state.name} to {value.name}."")
        if value.value < self._state.value:
            logger.error(f""Invalid state transition attempt from {self._state.name} to {value.name}."")
            raise ValueError(f""State can only transition forward, from {self._state.name} to {value.name} not allowed."")
        self._state = value <ANS> ",true,self._state in _TERMINAL_STATES,self._state == JobState.JOB_STATE_RUNNING and value.state != self._state.name and (self,64.00
"def _get_hash(identifier: str) -> str:
        
        identifier = identifier.lower().strip()
        if <IFMASK>:
            # Hash functions have to take bytes
            identifier = identifier.encode('utf-8')

        hash_value = sha256(identifier).hexdigest()
        return f""{hash_value}_{len(identifier)}"" <ANS> ",true,"isinstance(identifier, str)",identifier == 'sha256' or identifier == 'sha256' or identifier == 'sha256' or identifier == ',62.11
"def is_valid_tool_call_item(call_item: dict) -> bool:
    
    if <IFMASK>:
        return False

    if set(call_item.keys()) - {""name"", ""arguments""}:  # noqa: SIM103
        return False

    return True <ANS> ",true,"""name"" not in call_item or not isinstance(call_item[""name""], str)","not isinstance(call_item, dict) or not isinstance(call_item, list) or (not isinstance(",67.66
"def _handle_content(self, content):
        
        if <IFMASK>:
            text = content.get(""text"", """")
            if text == ""<DONE>"":
                return
            logger.info(f""Assistant: {text}"") <ANS> ",false,"content.get(""type"") == ""text""",self.content_type == 'application/json' and self.content_type == 'application/json-rpc,62.17
"def add_prompt(self, prompt: Prompt) -> Prompt:
        
        logger.debug(f""Adding prompt: {prompt.name}"")
        existing = self._prompts.get(prompt.name)
        if <IFMASK>:
            if self.warn_on_duplicate_prompts:
                logger.warning(f""Prompt already exists: {prompt.name}"")
            return existing
        self._prompts[prompt.name] = prompt
        return prompt <ANS> ",false,existing,self.config.option.verbose >= 1 and self.config.option.debug == 'debug' and (not,53.07
"def _create_visualizations(self):
        
        if <IFMASK>:
            logger.warning(""Matplotlib not available, skipping visualization creation"")
            return

        if not self.study or len(self.study.trials) < 2:
            logger.warning(""Not enough trials to create visualizations"")
            return

        # Create directory for visualizations <ANS> ",false,not PLOTTING_AVAILABLE,self.study.trials == 0 and self.study.mode == 'exec' and (not,62.34
"def delete_all_output_files() -> bool:
    
    try:
        for filename in os.listdir(OUTPUTS_DIR):
            if <IFMASK>:
                file_path = os.path.join(OUTPUTS_DIR, filename)
                os.remove(file_path)
        return True
    except Exception as e:
        print(f""Error deleting output files: {e}"")
        return False <ANS> ",false,any(filename.endswith(ext) for ext in AUDIO_FORMATS),len(all_output_files) == 0 and all_output_files[0] == 'true' and,60.08
"def _respect_rate_limit(self):
        
        current_time = time.time()
        time_since_last_request = current_time - self.last_request_time

        if <IFMASK>:
            wait_time = self.delay_between_requests - time_since_last_request
            logger.info(f""Rate limiting: waiting {wait_time:.2f} seconds"")
            time.sleep(wait_time)

        self.last_request_time = time.time() <ANS> ",true,time_since_last_request < self.delay_between_requests,self.last_request_time < self.last_request_time + self.last_request_time +,55.92
"def _cleanup_existing_alembic(self) -> None:
        
        # logger.info(""Cleaning up existing Alembic configuration..."")

        # Remove entire alembic directory if it exists
        if <IFMASK>:
            import shutil

            shutil.rmtree(self.alembic_dir)
            logger.info(f""Removed alembic directory: {self.alembic_dir}"")

        # Remove alembic.ini if it exists
        if self.alembic_ini_path.exists():
            self.alembic_ini_path.unlink() <ANS> ",true,self.alembic_dir.exists(),not self.config.option.verbose or self.config.option.verbose > 1 or self.config.option,60.42
"def _format_server_info(self, server_name: str) -> str:
        
        server_config = self.server_registry.get_server_config(server_name)
        server_str = f""Server Name: {server_name}""
        if <IFMASK>:
            return server_str

        description = server_config.description
        if description:
            server_str = f""{server_str}\nDescription: {description}""

        return server_str <ANS> ",false,not server_config,self.server_info is not None and self.server_info.info.mode == 'wrap' and self,58.50
"def format_question(category: str, question: str, answer: str) -> Dict[str, Any]:
    
    # Basic sanity checks
    if <IFMASK>:
        raise ValueError(f""Empty question or answer in {category}"")
        
    return {
        ""id"": f""{category}_{random.getrandbits(32):08x}"",
        ""category"": category,
        ""question"": clean_text(question),
        ""answer"": clean_text(answer),
        ""metadata"": { <ANS> ",true,not question or not answer,not answer or answer == 'random' or answer == 'random.getrandbits(32) or answer == ',60.62
"def get_tool(self, key: str) -> Tool:
        
        if <IFMASK>:
            return self._tools[key]
        raise NotFoundError(f""Unknown tool: {key}"") <ANS> ",true,key in self._tools,self._is_kubernetes and self.is_kubernetes_package(key) and (not self.is_kubernetes,52.03
"def stable_serialize(obj: Any) -> Any:
    
    if <IFMASK>:
        return {k: stable_serialize(v) for k, v in sorted(obj.items())}
    elif isinstance(obj, (list, tuple)):
        return [stable_serialize(x) for x in obj]
    elif isinstance(obj, (str, int, float, bool, type(None))):
        return obj
    else:
        return str(obj) <ANS> ",true,"isinstance(obj, dict)","isinstance(obj, dict) and isinstance(obj, list) and (not isinstance(obj, dict)) and (",66.50
"def register_mcp_tools(self):
        
        if <IFMASK>:
            for server_name in self.mcp_client.server_name_to_tools:
                for tool in self.mcp_client.server_name_to_tools[server_name]:
                    tool_name = f""mcp.{server_name}.{tool.name}""
                    self.registry.registry.actions[tool_name] = RegisteredAction(
                        name=tool_name,
                        description=tool.description,
                        function=tool,
                        param_model=create_tool_param_model(tool), <ANS> ",true,self.mcp_client,self.mcp_client.server_name_to_tools is not None and self.mcp_client,65.77
"def get_model_config(version: str):
    
    if <IFMASK>:
        raise ValueError(f""Unsupported model version '{version}'. Supported versions are: {list(MODEL_CONFIGS.keys())}"")
    return MODEL_CONFIGS[version] <ANS> ",true,version not in MODEL_CONFIGS,version == 'auto' and (not is_classifier(version)) and (not is_regressor(version)) and,53.00
"def get_cortex_search_service(cfg: RetrievalProviderConfig) -> Tuple[str,str,str]:
    
    if <IFMASK>:
        raise snowflake.ConfigurationError(""Unable to determine Snowflake configuration"")
    index_name = cfg.index_name
    if not index_name:
        raise snowflake.ConfigurationError(""Unable to determine Snowflake Cortex Search Service, is SNOWFLAKE_CORTEX_SEARCH_SERVICE set?"")
    parts = index_name.split(""."")
    if len(parts) != 3:
        raise snowflake.ConfigurationError(f""Invalid SNOWFLAKE_CORTEX_SEARCH_SERVICE, expected format:<database>.<schema>.<service>, got {index_name}"")
    return (parts[0], parts[1], parts[2]) <ANS> ",true,not cfg,"not isinstance(cfg.index_urls, list) or not isinstance(cfg.index_urls[0], list",66.44
"def _jsonl_to_csv(self, jsonl_file, csv_file):
        
        with open(jsonl_file, 'r', encoding='utf-8') as infile:
            data = [json.loads(line) for line in infile]
        
        if <IFMASK>:
            print(""Empty JSONL file."")
            return
        
        with open(csv_file, 'w', newline='', encoding='utf-8') as outfile:
            writer = csv.DictWriter(outfile, fieldnames=data[0].keys())
            writer.writeheader()
            writer.writerows(data) <ANS> ",true,not data,self.header is not None and self.header.name not in self.data[0] and self.header,53.05
"def recursive_mask_values(obj, parent_key=None):
            
            if <IFMASK>:
                return {k: recursive_mask_values(v, k) for k, v in obj.items()}
            elif isinstance(obj, list):
                return [recursive_mask_values(item, parent_key) for item in obj]
            elif isinstance(obj, str):
                # List of keys that should NOT be masked
                excluded_keys = {
                    'start_time', 'end_time', 'name', 'id', 
                    'hash_id', 'parent_id', 'source_hash_id', <ANS> ",true,"isinstance(obj, dict)","isinstance(obj, str) and obj.endswith('start_time') and obj.endswith('end_time')",67.80
"def deprecated(replacement: str = """"):
    
    import functools
    import warnings

    def decorator(func):
        qualified_name = _get_qualified_name(func)
        @functools.wraps(func)
        def wrapped(*args, **kwargs):
            msg = f""Warning: API '{qualified_name}' is deprecated.""
            if <IFMASK>:
                msg += f"" Please use '{replacement}' instead.""
            warnings.warn(msg, category=DeprecationWarning, stacklevel=2)
            return func(*args, **kwargs)
        return wrapped
    return decorator <ANS> ",true,replacement,"not isinstance(replacement, str) or not isinstance(args, (list, tuple)) or len(args) ==",67.94
"def _format_timestamp(self, timestamp: str) -> str:
        
        if <IFMASK>:
            return timestamp

        try:
            year = timestamp[0:4]
            month = timestamp[4:6]
            day = timestamp[6:8]
            hour = timestamp[8:10]
            minute = timestamp[10:12] <ANS> ",false,len(timestamp) < 14,self.tz is not None and self.tz_convert is not None and (not isinstance(self.tz_,67.62
"def get_skill_states(skill_category: str) -> Set[str]:
    
    if <IFMASK>:
        return _skill_states_cache[skill_category]

    try:
        # Import the skill category module
        skill_module = importlib.import_module(f""skills.{skill_category}"")

        # Look for the SkillStates TypedDict class
        if hasattr(skill_module, ""SkillStates""): <ANS> ",false,skill_category in _skill_states_cache,"not hasattr(skill_module, 'SkillStates') or not hasattr(skill_module, 'get",67.07
"def _progress_callback(self, message: str, progress: int, metadata: dict) -> None:
        
        logger.info(f""Progress: {progress}% - {message}"")
        if <IFMASK>:
            self.progress_callback(message, progress, metadata) <ANS> ",true,"hasattr(self, ""progress_callback"")",self.wait_for_completion is not None and self.wait_for_completion.done() and (not,71.66
"def custom_get_evaluation_llm(custom_config=None):
            
            if <IFMASK>:
                custom_config = evaluation_config

            print(f""Getting evaluation LLM with config: {custom_config}"")
            return get_llm(**custom_config) <ANS> ",true,custom_config is None,"custom_config is not None and (not isinstance(custom_config, dict)) and (not isinstance(custom_",77.74
"def to_dict(self):
        
        result = {
            ""id"": self.id,
            ""name"": self.name,
            ""type"": self.type,
            ""path"": self.path,
            ""created_at"": self.created_at.isoformat() if self.created_at else None,
            ""meta_data"": self.meta_data,
        }
        if <IFMASK>:
            result[""document_id""] = self.document_id
        return result <ANS> ",true,self.document_id,self.document_id is not None and self.document_name is not None and (self.document_type,70.56
"def trace_id_to_uuid(trace_id: str) -> str:
    
    trace_id = str(trace.format_trace_id(trace_id))
    if <IFMASK>:
        raise ValueError(""Trace ID must be a 32-character hexadecimal string"")
    return f""{trace_id[:8]}-{trace_id[8:12]}-{trace_id[12:16]}-{trace_id[16:20]}-{trace_id[20:]}"" <ANS> ",true,len(trace_id) != 32,not trace_id.startswith('http') or not trace_id.endswith('https') or not trace_id,64.72
"def _get_endpoint_config(self):
        
        endpoint_config = CONFIG.retrieval_endpoints.get(self.endpoint_name)
        
        if <IFMASK>:
            error_msg = f""No configuration found for endpoint {self.endpoint_name}""
            logger.error(error_msg)
            raise ValueError(error_msg)
        
        # Verify this is an Azure AI Search endpoint
        if endpoint_config.db_type != ""azure_ai_search"":
            error_msg = f""Endpoint {self.endpoint_name} is not an Azure AI Search endpoint (type: {endpoint_config.db_type})""
            logger.error(error_msg) <ANS> ",false,not endpoint_config,not self.endpoint_name.endswith('.json') or self.endpoint_name.endswith('.json') or self,64.91
"def save_results(results, output_dir):
    
    output_path = Path(output_dir) / ""rich_autoscan_results.json""

    # Convert results to serializable format
    serializable_results = []
    for result in results:
        if <IFMASK>:
            continue
        serializable_results.append(result)

    with open(output_path, ""w"") as f:
        json.dump(serializable_results, f, indent=2, default=lambda o: o.value if isinstance(o, Enum) else o)

    print(f""Results saved to {output_path}"") <ANS> ",false,result is None,not results or not results[0].endswith('.json') or results[1].endswith('.json') or results[,66.83
"def __exit__(self, exc_type, exc_value, exc_tb):
        
        if <IFMASK>:
            self.end.record()
            torch.cuda.synchronize()
            self.time = self.start.elapsed_time(self.end)
            if self.name is not None:
                logger.info(f'{self.name} takes {self.time} ms') <ANS> ",false,"os.environ.get('HY3DGEN_DEBUG', '0') == '1'",self.name is not None and self.pid != os.getpid() and (self.name != 'MainProcess'),56.97
"def create_turn_dir(self) -> None:
        
        if <IFMASK>:
            logger.warning(""Cannot create turn directory: run_dir not set"")
            return

        # Increment turn counter
        self.turn_count += 1

        # Create turn directory with padded number
        turn_name = f""turn_{self.turn_count:03d}"" <ANS> ",true,not self.run_dir,self.config.getvalue('do_xcom_push') or self.config.getvalue('write_index') or,53.12
"def copy_and_update(self, *args, **kwargs):
        
        new_info = asdict(self)

        for si in args:
            assert isinstance(si, StreamInfo)
            new_info.update({k: v for k, v in asdict(si).items() if v is not None})

        if <IFMASK>:
            new_info.update(kwargs)

        return StreamInfo(**new_info) <ANS> ",false,len(kwargs) > 0,self.update_perms or update_perms or update_perms or update_perms or update_perms or (self,67.44
